,0,1,2,3
0,CWI64CIY,1,0,http://dbpedia.org/resource/India
1,CWI64CIY,2,0,http://dbpedia.org/resource/PlayStation_2
2,CWI64CIY,3,0,http://dbpedia.org/resource/PlayStation_3
3,CWI64CIY,4,0,http://dbpedia.org/resource/PlayStation_4
4,CWI64CIY,5,0,http://dbpedia.org/resource/Center_(basketball)
5,CWI64CIY,6,0,http://dbpedia.org/resource/Northern_Ireland
6,CWI64CIY,7,0,http://dbpedia.org/resource/Single_(music)
7,CWI64CIY,8,0,http://dbpedia.org/resource/Atari_8-bit_family
8,CWI64CIY,9,0,http://dbpedia.org/resource/1080i
9,CWI64CIY,10,0,http://dbpedia.org/resource/Midfielder
10,CWI64CIY,1,1,http://dbpedia.org/resource/Walmart
11,CWI64CIY,2,1,http://dbpedia.org/resource/China_National_Petroleum_Corporation
12,CWI64CIY,3,1,http://dbpedia.org/resource/Insect
13,CWI64CIY,4,1,http://dbpedia.org/resource/State_Grid_Corporation_of_China
14,CWI64CIY,5,1,http://dbpedia.org/resource/Foxconn
15,CWI64CIY,6,1,http://dbpedia.org/resource/Volkswagen
16,CWI64CIY,7,1,http://dbpedia.org/resource/Time_in_Brazil
17,CWI64CIY,8,1,http://dbpedia.org/resource/Sinopec
18,CWI64CIY,9,1,http://dbpedia.org/resource/EMI
19,CWI64CIY,10,1,http://dbpedia.org/resource/United_States_Postal_Service
20,CWI64CIY,1,2,http://dbpedia.org/resource/United_States
21,CWI64CIY,2,2,http://dbpedia.org/resource/China
22,CWI64CIY,3,2,http://dbpedia.org/resource/China
23,CWI64CIY,4,2,http://dbpedia.org/resource/China
24,CWI64CIY,5,2,http://dbpedia.org/resource/Taiwan
25,CWI64CIY,6,2,http://dbpedia.org/resource/Germany
26,CWI64CIY,7,2,http://dbpedia.org/resource/United_States
27,CWI64CIY,8,2,http://dbpedia.org/resource/China
28,CWI64CIY,9,2,http://dbpedia.org/resource/United_Kingdom
29,CWI64CIY,10,2,http://dbpedia.org/resource/United_States
30,CWI64CIY,1,3,http://dbpedia.org/resource/Ouagadougou
31,CWI64CIY,2,3,http://dbpedia.org/resource/Forever_Faithless_–_The_Greatest_Hits
32,CWI64CIY,3,3,http://dbpedia.org/resource/MSC_Fantasia
33,CWI64CIY,4,3,http://dbpedia.org/resource/AIDAmira
34,CWI64CIY,5,3,http://dbpedia.org/resource/Tennessee
35,CWI64CIY,6,3,"http://dbpedia.org/resource/Ames,_Iowa"
36,CWI64CIY,7,3,"http://dbpedia.org/resource/The_$64,000_Question"
37,CWI64CIY,8,3,"http://dbpedia.org/resource/SB-612,111"
38,CWI64CIY,9,3,http://dbpedia.org/resource/Gaza_City
39,CWI64CIY,10,3,http://dbpedia.org/resource/Shandong_Luneng_Taishan_F.C.
